iter	Passed	Remaining
995	2418	240391
996	2421	240482
997	2424	240464
998	2427	240519
999	2429	240505
1000	2431	240493
1001	2434	240487
1002	2436	240499
1003	2439	240497
1004	2441	240504
1005	2443	240497
1006	2446	240516
1007	2449	240508
1008	2451	240516
1009	2453	240510
1010	2456	240506
1011	2458	240499
1012	2461	240492
1013	2463	240459
1014	2465	240451
1015	2468	240453
1016	2470	240435
1017	2472	240404
1018	2474	240386
1019	2476	240360
1020	2479	240344
1021	2481	240325
1022	2483	240311
1023	2486	240312
1024	2488	240318
1025	2491	240324
1026	2493	240333
1027	2496	240332
1028	2498	240311
1029	2500	240280
1030	2503	240273
1031	2505	240262
1032	2507	240252
1033	2510	240240
1034	2512	240229
1035	2514	240235
1036	2517	240231
1037	2519	240197
1038	2521	240187
1039	2524	240179
1040	2526	240177
1041	2528	240170
1042	2531	240163
1043	2533	240148
1044	2535	240137
1045	2538	240132
1046	2540	240124
1047	2542	240108
1048	2545	240099
1049	2547	240094
1050	2550	240082
1051	2552	240065
1052	2554	240055
1053	2556	240037
1054	2559	240024
1055	2561	240014
1056	2563	239998
1057	2566	239983
1058	2568	239971
1059	2570	239961
1060	2573	239956
1061	2575	239956
1062	2578	239952
1063	2580	239943
1064	2582	239929
1065	2585	239926
1066	2587	239916
1067	2590	239920
1068	2592	239906
1069	2594	239905
1070	2597	239901
1071	2599	239902
1072	2602	239902
1073	2604	239895
1074	2606	239885
1075	2609	239863
1076	2611	239846
1077	2613	239826
1078	2615	239794
1079	2617	239778
1080	2620	239772
1081	2622	239765
1082	2625	239763
1083	2627	239740
1084	2629	239729
1085	2632	239736
1086	2634	239744
1087	2637	239748
1088	2639	239749
1089	2642	239749
1090	2644	239750
1091	2646	239751
1092	2649	239752
1093	2651	239745
1094	2654	239728
1095	2656	239718
1096	2658	239688
1097	2660	239675
1098	2663	239668
1099	2665	239665
1100	2668	239659
1101	2670	239649
1102	2672	239643
1103	2674	239612
1104	2677	239598
1105	2679	239593
1106	2681	239591
1107	2684	239565
1108	2686	239559
1109	2688	239540
1110	2690	239521
1111	2693	239513
1112	2695	239509
1113	2697	239485
1114	2700	239469
1115	2702	239475
1116	2704	239460
1117	2707	239423
1118	2709	239400
1119	2711	239377
1120	2713	239361
1121	2715	239334
1122	2718	239329
1123	2720	239314
1124	2722	239311
1125	2725	239298
1126	2727	239300
1127	2729	239275
1128	2732	239256
1129	2734	239241
1130	2736	239225
1131	2738	239198
1132	2741	239190
1133	2743	239187
1134	2745	239156
1135	2747	239125
1136	2749	239108
1137	2752	239077
1138	2754	239040
1139	2756	239014
1140	2758	238986
1141	2760	238952
1142	2762	238935
1143	2764	238916
1144	2766	238887
1145	2769	238855
1146	2771	238840
1147	2773	238829
1148	2775	238794
1149	2777	238786
1150	2780	238791
1151	2782	238796
1152	2785	238802
1153	2787	238800
1154	2790	238803
1155	2792	238803
1156	2795	238785
1157	2797	238758
1158	2799	238752
1159	2801	238717
