iter	Logloss	Accuracy	Recall	Precision	F1
257	0.2064060169	0.9779166667	0.9762295082	0.9802469136	0.9782340862
258	0.2056562183	0.9775	0.9762295082	0.9794407895	0.9778325123
259	0.2051949637	0.9770833333	0.9737704918	0.9810074319	0.9773755656
260	0.2043493341	0.9783333333	0.9770491803	0.9802631579	0.9786535304
261	0.2034312498	0.9783333333	0.9770491803	0.9802631579	0.9786535304
262	0.2031430201	0.9779166667	0.9754098361	0.9810387469	0.978216194
263	0.2018569135	0.9795833333	0.9786885246	0.9811010682	0.9798933114
264	0.2009157622	0.9808333333	0.9795081967	0.9827302632	0.9811165846
265	0.1999683566	0.9804166667	0.9795081967	0.9819227609	0.9807139926
266	0.1992940645	0.98	0.9795081967	0.9811165846	0.9803117309
267	0.197864728	0.98	0.9819672131	0.9787581699	0.9803600655
268	0.1972153003	0.9808333333	0.9819672131	0.9803600655	0.9811629812
269	0.1966096664	0.9804166667	0.9819672131	0.9795584628	0.980761359
270	0.1957735459	0.98125	0.9819672131	0.9811629812	0.9815649324
271	0.1947504152	0.9820833333	0.9827868852	0.981981982	0.9823842687
272	0.1941200936	0.9816666667	0.9827868852	0.9811783961	0.981981982
273	0.1933648412	0.98125	0.9819672131	0.9811629812	0.9815649324
274	0.1924395775	0.98125	0.9844262295	0.9788101059	0.9816101349
275	0.1916853455	0.9816666667	0.9852459016	0.9788273616	0.9820261438
276	0.1911623181	0.9816666667	0.9852459016	0.9788273616	0.9820261438
277	0.190826218	0.9833333333	0.9860655738	0.9812398042	0.9836467702
278	0.1899656603	0.98125	0.9836065574	0.9795918367	0.981595092
279	0.1886859371	0.98125	0.9844262295	0.9788101059	0.9816101349
280	0.1883190288	0.9816666667	0.9852459016	0.9788273616	0.9820261438
281	0.1873699869	0.9833333333	0.9868852459	0.9804560261	0.9836601307
282	0.1869298545	0.9820833333	0.9852459016	0.9796251019	0.9824274622
283	0.1855628258	0.9833333333	0.9868852459	0.9804560261	0.9836601307
284	0.1849299407	0.9833333333	0.9868852459	0.9804560261	0.9836601307
285	0.1847370953	0.9829166667	0.9860655738	0.9804400978	0.9832447895
286	0.1841526971	0.98375	0.9860655738	0.9820408163	0.9840490798
287	0.183458103	0.9841666667	0.9860655738	0.9828431373	0.9844517185
288	0.1828974196	0.985	0.9860655738	0.9844517185	0.9852579853
289	0.1815615961	0.9833333333	0.9852459016	0.9820261438	0.9836333879
290	0.180765792	0.9833333333	0.9852459016	0.9820261438	0.9836333879
291	0.1805496145	0.9833333333	0.9852459016	0.9820261438	0.9836333879
292	0.1798073522	0.98375	0.9852459016	0.9828291087	0.9840360213
293	0.1786118228	0.985	0.9860655738	0.9844517185	0.9852579853
294	0.1777837771	0.9841666667	0.9852459016	0.9836333879	0.9844389844
295	0.1766206227	0.9841666667	0.9860655738	0.9828431373	0.9844517185
296	0.1760349582	0.9845833333	0.9868852459	0.9828571429	0.9848670757
297	0.1757593644	0.9845833333	0.9868852459	0.9828571429	0.9848670757
298	0.1749107055	0.985	0.987704918	0.9828711256	0.9852820932
299	0.1740904159	0.9845833333	0.987704918	0.9820700896	0.9848794442
300	0.1735699275	0.9841666667	0.9885245902	0.9804878049	0.9844897959
301	0.1730696017	0.9854166667	0.987704918	0.9836734694	0.9856850716
302	0.1723949372	0.9854166667	0.987704918	0.9836734694	0.9856850716
303	0.1718973104	0.9854166667	0.9885245902	0.9828850856	0.9856967716
304	0.1708265745	0.98625	0.9885245902	0.9844897959	0.9865030675
305	0.1701240968	0.985	0.987704918	0.9828711256	0.9852820932
306	0.1698036882	0.9858333333	0.987704918	0.9844771242	0.9860883797
307	0.1693339717	0.9854166667	0.987704918	0.9836734694	0.9856850716
308	0.1684310642	0.9875	0.9901639344	0.9853181077	0.9877350777
309	0.1678063309	0.9879166667	0.9901639344	0.986122449	0.9881390593
310	0.1670442954	0.9866666667	0.9901639344	0.983713355	0.9869281046
311	0.1667022012	0.9870833333	0.9893442623	0.9853061224	0.9873210634
312	0.166010277	0.9866666667	0.9885245902	0.9852941176	0.9869067103
